method,path_length,query_length,body_length,slash_count,dot_count,path_special_chars,query_special_chars,body_special_chars,digit_ratio,percent_encoding_count,has_sql_keyword,sqli_pattern_count,has_xss_keyword,has_path_traversal,has_cmd_keyword,html_bracket_count,quote_count,js_bracket_count
0,11,3,0,2,0,2,1,0,0.066667,0,0,0,0,0,0,0,0,0
0,6,0,0,1,0,1,0,0,0.0,0,0,0,0,0,0,0,0,0
1,12,0,32,2,0,2,0,8,0.066667,0,1,0,0,0,0,0,4,0
0,1,0,0,1,0,1,0,0,0.0,0,0,0,0,0,0,0,0,0
0,6,0,0,1,0,1,0,0,0.0,0,0,0,0,0,0,0,0,0
1,12,0,32,2,0,2,0,8,0.066667,0,1,0,0,0,0,0,4,0
0,1,0,0,1,0,1,0,0,0.0,0,0,0,0,0,0,0,0,0
0,6,0,0,1,0,1,0,0,0.0,0,0,0,0,0,0,0,0,0
1,12,0,33,2,0,2,0,7,0.021739,0,0,0,1,0,0,4,0,0
0,6,0,0,1,0,1,0,0,0.0,0,0,0,0,0,0,0,0,0
1,12,0,34,2,0,2,0,9,0.06383,0,1,1,0,0,0,0,5,0
1,12,0,36,2,0,2,0,5,0.020408,0,0,0,0,0,0,2,0,0
1,12,0,39,2,0,2,0,7,0.038462,0,0,0,0,0,0,4,0,0
1,12,0,288,2,0,2,0,64,0.009967,0,1,0,1,1,0,28,12,2
0,49,0,0,3,4,3,0,0,0.0,0,0,0,0,0,0,0,0,0
1,12,0,288,2,0,2,0,64,0.009967,0,1,0,1,1,0,28,12,2
0,49,0,0,3,4,3,0,0,0.0,0,0,0,0,0,0,0,0,0
0,1,0,0,1,0,1,0,0,0.0,0,0,0,0,0,0,0,0,0
0,12,0,0,1,1,1,0,0,0.0,0,0,0,0,0,0,0,0,0
0,6,0,0,1,0,1,0,0,0.0,0,0,0,0,0,0,0,0,0
1,12,0,34,2,0,2,0,9,0.06383,0,1,1,0,0,0,0,5,0
1,12,0,34,2,0,2,0,9,0.06383,0,1,1,0,0,0,0,5,0
1,12,0,33,2,0,2,0,8,0.021739,0,0,0,0,1,0,0,0,0
0,7,0,0,1,0,1,0,0,0.0,0,0,0,0,0,0,0,0,0
0,11,270,0,2,0,2,62,0,0.007092,0,1,0,1,1,0,28,12,2
0,11,22,0,2,0,2,6,0,0.0,0,0,0,0,1,0,0,0,0
